Ardbeg;Supernova;60,1
Ardbeg;Uigeadail;54,2
Highland Park;15 Year Old;40
Highland Park;30 Year Old;48,1
Bowmore;12 Year Old;40
Bowmore;1981;49,6
Bowmore;Maltmen's Selection;54,6
Glenfiddich;18 Year Old;40
Glenfiddich;1974 / 36 Year Old / Rare Collection;46,8
The Glenlivet;Nadurra 16 Year Old;57,7
The Glenlivet;Cellar Collection French Oak Finish;46
Laphroaig;10 Year Old;40
Laphroaig;Quarter Cask;48
Laphroaig;Triple Wood;48
Lagavulin;Feis Ile 2012;55,1
Lagavulin;1995 Pedro Ximénez Finish - Distillers Edition;43
The Macallan;10 Year Old Fine Oak;40
Port Ellen;22 Year Old 1979;56,2
Port Ellen;30 Year Old 1982 - Old and Rare (Douglas Laing);51,8
Talisker;1994 - Managers Choice;58,6
Glen Scotia;1992 - Cask Strength (Gordon and MacPhail);59,9
Glen Scotia;18 Year Old 1992 - Old Malt Cask (Douglas Laing);50
Glenmorangie;Lasanta;46
Oban;14 Year Old;43
Oban;1996 The Distillers Edition;43
Dalwhinnie;15 Year Old;43
Dalwhinnie;36 Year Old;47,2
